"27.3","0","0","25,461"
"27.02","0","0","28,972"
"24.82","0","1","30,814"
"23.98","1.2","1","29,799"
"23.82","0","0","28,900"
"23.78","12.2","0","28,218"
"24","0","0","29,732"
"24.9","48.6","0","28,397"
"28.2","4.4","0","24,886"
"26.76","0","1","37,937"
"27.62","3.4","1","36,254"
"25.96","0","0","25,743"
"25.52","0.8","0","26,990"
"25.96","1.6","0","31,825"
"25.86","3","0","25,724"
"26.5","2","0","29,938"
"28.86","0","1","37,690"
"28.26","0","1","30,524"
"28.22","3.7","0","29,265"
"27.68","0.6","0","35,127"
"25.32","0","0","29,130"
"21.74","31","0","25,795"
"21.04","3.6","0","21,784"
"23.12","13","1","28,348"
"24.4","0","1","31,088"
